epoch,step,train_loss,val_cer,val_loss,val_wer
0,2559,,0.16465480625629425,0.47547388076782227,0.42122167348861694
0,2559,0.5395892858505249,,,
1,5119,,0.16715683043003082,0.46594488620758057,0.39998263120651245
1,5119,0.31041625142097473,,,
2,7679,,0.15843048691749573,0.49407029151916504,0.39949071407318115
2,7679,0.17988638579845428,,,
3,10239,,0.141807422041893,0.5328569412231445,0.3969443440437317
3,10239,0.09561582654714584,,,
4,12799,,0.1452663540840149,0.5850189328193665,0.39789924025535583
4,12799,0.050004374235868454,,,
