epoch,step,train_loss,val_loss,val_per
0,739,,0.47097182273864746,0.12543368339538574
0,739,1.0987120866775513,,
1,1479,,0.40704426169395447,0.11547015607357025
1,1479,0.3670961260795593,,
2,2219,,0.39237019419670105,0.1120007112622261
2,2219,0.29070380330085754,,
3,2959,,0.41840535402297974,0.11369094997644424
3,2959,0.22756454348564148,,
4,3699,,0.45395132899284363,0.11529223620891571
4,3699,0.16624106466770172,,
