epoch,step,train_loss,val_cer,val_loss,val_wer
0,2559,,0.1665949672460556,0.47216343879699707,0.40866345167160034
0,2559,0.5398350358009338,,,
1,5119,,0.16818396747112274,0.46776705980300903,0.40183454751968384
1,5119,0.3098379075527191,,,
2,7679,,0.14773765206336975,0.48265451192855835,0.4010532796382904
2,7679,0.17997168004512787,,,
3,10239,,0.15899235010147095,0.5365418195724487,0.4149136245250702
3,10239,0.0962693840265274,,,
4,12799,,0.1357542872428894,0.5779871344566345,0.39358776807785034
4,12799,0.050558872520923615,,,
5,15359,,0.1727183312177658,0.6056950688362122,0.39431118965148926
5,15359,0.03173089772462845,,,
6,17919,,0.13085120916366577,0.6353591680526733,0.38441506028175354
6,17919,0.023138415068387985,,,
7,20479,,0.1304517686367035,0.6615150570869446,0.38267889618873596
7,20479,0.01879093423485756,,,
8,23039,,0.13029374182224274,0.6742544770240784,0.3782227635383606
8,23039,0.01694658026099205,,,
9,25599,,0.13541629910469055,0.6933954358100891,0.39561331272125244
9,25599,0.014932799153029919,,,
10,28159,,0.1330152451992035,0.7189351320266724,0.38774269819259644
10,28159,0.012873286381363869,,,
11,30719,,0.12918758392333984,0.7306039333343506,0.37880146503448486
11,30719,0.011302407830953598,,,
12,33279,,0.12399041652679443,0.7450465559959412,0.37258023023605347
12,33279,0.011865492910146713,,,
13,35839,,0.11703743040561676,0.7502850890159607,0.36612749099731445
13,35839,0.010678188875317574,,,
14,38399,,0.12099237740039825,0.7536242008209229,0.36230793595314026
14,38399,0.010166836902499199,,,
