epoch,step,train_loss,val_cer,val_loss,val_wer
0,2559,,0.19691768288612366,0.47683414816856384,0.4309152364730835
0,2559,0.5388737916946411,,,
1,5119,,0.17930258810520172,0.4643862247467041,0.415029376745224
1,5119,0.30928558111190796,,,
2,7679,,0.1599009782075882,0.4950827956199646,0.40041667222976685
2,7679,0.17918100953102112,,,
3,10239,,0.1379929482936859,0.5335204601287842,0.393414169549942
3,10239,0.09616074711084366,,,
4,12799,,0.15250465273857117,0.5807107090950012,0.3893631100654602
4,12799,0.05046665668487549,,,
